customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
98,Caleb Barker,gbender@example.net,Lithuania,2022-08-05,Premium,622.97
99,Kyle Preston,cassandra01@example.org,Peru,2020-06-07,Premium,6547.15
100,Laura Sampson,barbara27@example.net,Pakistan,2020-04-12,Basic,540.77
101,Donald Shea,fwalters@example.org,Latvia,2020-01-28,Basic,718.04
102,Gary Santiago,marksteele@example.com,Panama,2022-05-19,Standard,227.85
103,Robin Pierce,qmiller@example.com,Brazil,2020-10-06,Standard,1118.91
104,Jennifer Robertson,sandovalamy@example.com,Austria,2021-09-13,Basic,272.1
105,Isaiah Avila,nwolf@example.com,Mexico,2021-06-13,Basic,632.46
106,Dwayne Gilmore,omartinez@example.net,South Georgia and the South Sandwich Islands,2022-06-10,Basic,254.31
107,Christopher Pierce,hdavis@example.com,Yemen,2024-07-14,Standard,524.75
108,Ronnie Jimenez,william46@example.com,Latvia,2023-09-22,Standard,1726.1
109,Juan Reyes,michellehill@example.com,Guam,2021-10-10,Premium,8318.56
110,Katie Hoover,jessica99@example.net,Liechtenstein,2021-11-16,Basic,86.2
111,Jill Washington,andrea86@example.com,Venezuela,2023-12-12,Standard,2728.02
112,Colin Terry,xhall@example.com,Aruba,2024-10-07,Standard,2496.55
113,John Mcintyre,qhughes@example.net,Canada,2024-05-30,Standard,525.39
114,Andrew Shaw MD,sawyerscott@example.net,United States Minor Outlying Islands,2024-06-19,Standard,1560.79
115,Nathan Ortiz,charlesharrington@example.com,Guadeloupe,2024-10-16,Premium,13367.1
116,Jennifer Miller,melissa86@example.com,Niue,2021-08-03,Basic,151.55
117,Olivia Brennan,williamsonjimmy@example.net,Uruguay,2021-03-17,Basic,549.37
118,Darren Davis,hodgesjane@example.org,Kenya,2021-02-05,Basic,71.12
119,Elijah Johnson,laura45@example.com,Jersey,2022-08-09,Standard,877.57
120,Joseph Knight,georgemiller@example.com,Niger,2023-08-31,Standard,2016.71
121,Kathleen Aguilar,stevenking@example.com,Papua New Guinea,2022-12-16,Standard,1867.87
122,Robert Santana,charleslandry@example.net,French Southern Territories,2024-05-14,Standard,716.78
123,Jessica Wright,james67@example.org,Dominica,2021-05-29,Premium,1146.9
124,Ian Phillips,andrew64@example.org,Mongolia,2020-03-30,Standard,357.55
125,Paula Beltran,swall@example.org,New Caledonia,2023-06-19,Premium,5549.16
126,Colleen Lee,erica21@example.net,Oman,2022-11-25,Standard,805.01
127,Richard Johnson,jessica14@example.com,San Marino,2022-09-08,Standard,2850.89
128,Curtis Buchanan,alyssa42@example.com,United States Minor Outlying Islands,2021-02-04,Premium,2222.84
129,Karen Drake,linda71@example.org,Saudi Arabia,2023-02-03,Premium,7336.42
130,Shannon Ramsey,zcoffey@example.net,Haiti,2021-07-10,Standard,101.3
131,James Baker,gibsonemily@example.net,Estonia,2021-10-10,Premium,1936.93
132,Samantha Bentley,leonardthomas@example.net,Turks and Caicos Islands,2024-08-09,Basic,545.98
133,Erin Bishop,reidsteven@example.net,Gabon,2024-12-25,Standard,2446.29
134,Audrey Williams,torrestravis@example.org,Dominica,2023-02-22,Standard,1989.02
135,Brandy Chavez,umatthews@example.org,Turks and Caicos Islands,2024-06-25,Standard,1321.62
136,Brett Burns,rcrosby@example.org,Portugal,2023-11-06,Premium,7586.22
137,Jeremy Sampson,cory58@example.net,Guinea-Bissau,2023-03-13,Basic,454.74
138,Donald Donaldson,ndavis@example.net,Northern Mariana Islands,2023-07-05,Standard,1583.46
139,Alison Buchanan,vanessabuchanan@example.org,Bangladesh,2022-02-10,Basic,206.49
140,Kristen Willis,markhernandez@example.net,Afghanistan,2021-01-10,Premium,5698.21
141,William Huerta,lauren10@example.org,American Samoa,2023-10-15,Standard,1310.35
142,Richard Chapman,thompsonbrian@example.net,Italy,2020-01-17,Standard,108.03
143,Nichole Alvarez,william17@example.net,Cyprus,2020-02-01,Basic,563.22
144,Amanda Logan,stephen00@example.com,Tanzania,2022-10-29,Standard,1730.23
145,Michael Henry,fjones@example.com,New Caledonia,2020-03-09,Standard,100.04
146,Cameron Weber,oscar98@example.com,Korea,2023-06-21,Standard,272.38
147,Jessica Mcguire,farrelldebra@example.net,Saint Helena,2020-03-22,Standard,2428.41
148,Jessica Beasley,dmorgan@example.com,Israel,2023-06-30,Standard,2181.33
149,Emily Edwards,nicholas27@example.org,Bermuda,2023-01-28,Standard,2151.41
150,Anna Davis,lisa80@example.net,Zimbabwe,2023-04-26,Premium,11224.05
151,Erin Martinez,morgan60@example.com,Netherlands Antilles,2022-03-27,Basic,590.41
152,Brian Romero,dianewalker@example.org,Guernsey,2023-08-16,Basic,59.22
153,Holly Farmer,lindsaybruce@example.net,Nicaragua,2022-03-08,Premium,5736.24
154,Kristin Lynch,anthony44@example.com,Guernsey,2020-04-25,Standard,1630.03
155,Sergio Knight,vjones@example.net,Antarctica (the territory South of 60 deg S),2024-07-02,Premium,5353.26
156,Joseph Bennett,xpeterson@example.com,Saint Helena,2023-10-25,Standard,897.84
157,Todd Carlson,moorekaren@example.org,Peru,2024-06-02,Standard,823.08
158,Jeremy Coleman,nperry@example.net,Brazil,2023-11-28,Standard,2480.44
159,Brian Gregory,trose@example.org,Cyprus,2020-05-11,Basic,287.58
160,Kyle Smith,sierra24@example.com,Greece,2020-11-19,Basic,320.86
161,Jonathan Jordan,omarpadilla@example.net,Monaco,2024-12-25,Premium,548.68
162,Renee Jones,grahamsteve@example.org,Tokelau,2021-07-01,Basic,188.41
163,Jeffrey Sullivan,zroberts@example.org,Greece,2023-10-25,Standard,1009.51
164,Travis Stevens,christopher13@example.com,Namibia,2021-09-08,Premium,11890.55
165,Blake Harrell,jeffrey21@example.net,North Macedonia,2024-11-23,Standard,1227.95
166,Jordan Bullock,michael23@example.org,Cameroon,2020-03-27,Standard,208.79
167,Christopher Hernandez,thompsonkendra@example.com,Kyrgyz Republic,2023-02-17,Basic,632.17
168,Olivia Cole,michelle52@example.com,Bangladesh,2024-08-27,Basic,785.73
169,Mark Hogan,bellcharles@example.com,Korea,2023-09-21,Standard,1015.86
170,Jacob Mitchell,gilbertwilliam@example.com,Mozambique,2024-07-20,Basic,553.27
171,Rebecca Huang,kstout@example.net,Comoros,2020-11-15,Standard,2675.81
172,John Hernandez,hayeslisa@example.com,Rwanda,2021-07-14,Standard,1291.18
173,Matthew Williams,hritter@example.net,New Zealand,2022-04-06,Standard,2750.8
174,Jake Campbell,rschroeder@example.net,Austria,2021-11-17,Basic,669.39
175,Maria Jones,grantpaul@example.com,Saint Kitts and Nevis,2020-07-21,Premium,1464.08
176,Tracey Morrison,mathewaguilar@example.org,United States Virgin Islands,2024-10-31,Premium,4028.41
177,Walter Hale,tanderson@example.org,Georgia,2024-03-09,Standard,1330.62
178,Maria Murphy,elizabethcalderon@example.net,Poland,2021-07-03,Basic,378.5
179,Anna Santiago,andrew42@example.org,Guam,2021-02-28,Basic,632.36
180,Katelyn Perez,ericphillips@example.org,Madagascar,2021-06-16,Basic,178.6
181,Sandy Stephenson,stanleynancy@example.net,Bulgaria,2023-08-03,Basic,681.41
182,Brittany White,jenniferwilliams@example.com,Philippines,2023-06-26,Basic,482.96
183,Tracy Bishop,pyoung@example.com,Sudan,2021-06-25,Standard,644.88
184,Stephanie Lee,smurray@example.com,Macao,2021-10-09,Standard,489.6
185,Tracy Montoya,moniquewilliams@example.com,Tunisia,2020-10-09,Basic,375.31
186,Timothy Dawson,mitchellkathryn@example.com,Korea,2023-09-21,Standard,234.33
187,Brittany Kim,lisawilkerson@example.org,Israel,2024-02-27,Standard,2046.78
188,Jonathan Young,brooksanthony@example.org,Taiwan,2024-12-02,Premium,12740.65
189,Gabriela Thomas,mitchellmaria@example.net,Switzerland,2023-12-03,Basic,764.35
190,Michael West,bullockandrew@example.org,Syrian Arab Republic,2022-03-11,Standard,678.62
191,Todd Lynch,srodriguez@example.org,Gabon,2021-08-26,Basic,712.27
192,David Fowler,fbrown@example.net,Mauritania,2020-12-04,Standard,2685.98
193,Jose Allen,kellysmith@example.com,Dominican Republic,2021-06-04,Premium,2323.9
194,Chelsea Barnett,carlos88@example.net,Solomon Islands,2022-06-30,Basic,244.17
195,Kristen Myers DDS,qzavala@example.net,Andorra,2020-04-19,Premium,12766.88
196,Austin Allen,ingramjill@example.com,Burkina Faso,2023-10-09,Premium,5540.99
197,Joshua Li,mariacohen@example.net,Lesotho,2024-02-01,Standard,2030.61
198,Robin Brown,mjohnson@example.org,Somalia,2020-04-21,Basic,591.6
199,Andrew Mahoney,ihays@example.com,El Salvador,2024-04-17,Premium,8954.92
200,Matthew Mitchell,glennmartin@example.org,South Georgia and the South Sandwich Islands,2022-02-13,Standard,2963.38
201,Steve Paul,lmorgan@example.com,Puerto Rico,2024-01-29,Basic,458.38
202,Tim Stone PhD,mmiller@example.org,Mayotte,2021-03-23,Basic,488.77
203,Brian Murphy,kirk96@example.org,Portugal,2024-08-13,Standard,2620.48
204,Jeremy Acosta,christina64@example.net,Somalia,2022-09-30,Premium,9272.61
205,Angela Walsh,william20@example.org,Thailand,2020-09-04,Premium,2283.72
206,Rachael Johnson,youngdeanna@example.com,Hungary,2022-07-16,Standard,2139.31
207,Amanda Hernandez,xrush@example.com,Serbia,2020-11-25,Premium,885.26
208,Chad Richardson,debra31@example.org,Saint Pierre and Miquelon,2020-08-29,Standard,1516.74
209,Joseph Mcintyre,greenjorge@example.com,Croatia,2023-02-14,Premium,14986.28
210,Donna Hendricks DDS,taylorcharles@example.org,United Arab Emirates,2022-11-11,Standard,2165.75
211,Yolanda Cochran,elizabeth18@example.net,French Guiana,2020-05-25,Standard,1104.53
212,Sarah Joseph,laurahicks@example.org,Cook Islands,2024-03-30,Standard,1575.85
213,Cynthia Snyder,angela57@example.net,Bulgaria,2021-12-31,Premium,6552.13
214,Angelica Parker,xfox@example.com,Swaziland,2024-11-14,Basic,645.83
215,Beth Stewart,coleerin@example.com,Brunei Darussalam,2023-10-28,Basic,179.17
216,Penny Bowman,katrinaanderson@example.net,United States Minor Outlying Islands,2022-08-18,Basic,464.33
217,Sandra Holmes,fred53@example.com,Yemen,2021-10-01,Premium,543.89
218,Stephanie Singleton,james84@example.org,Niue,2021-02-02,Premium,3920.49
219,Joseph Shaw,brittanycarpenter@example.org,Palestinian Territory,2021-12-12,Basic,296.74
220,Stephanie Morgan,bryananthony@example.org,Yemen,2020-12-18,Standard,2676.93
221,Laura Curtis,bmontgomery@example.com,Tuvalu,2023-10-19,Standard,2551.04
222,Donna Frye,zsanchez@example.net,Iraq,2021-12-09,Standard,1711.28
223,Benjamin Brown,dperry@example.org,Guam,2023-01-09,Standard,647.34
224,Emily Higgins,theresa25@example.net,Monaco,2020-01-14,Basic,745.02
225,David Martinez,gwright@example.org,French Guiana,2022-08-27,Standard,2795.69
226,Sharon Barnes,lisapeck@example.net,Germany,2023-01-08,Basic,248.1
227,Christopher Ferrell,tjimenez@example.com,Angola,2021-05-05,Premium,11694.36
228,James Bryant,jasongomez@example.org,Finland,2023-08-02,Standard,2929.53
229,Stephen Pena MD,booneryan@example.com,Saint Lucia,2023-11-02,Standard,2861.49
230,Jamie Williams,hudsonjames@example.net,France,2020-02-03,Premium,6178.06
231,Jonathan Duran,marcia99@example.org,Brunei Darussalam,2024-11-08,Premium,8398.34
232,Jennifer Norton,angela52@example.org,Netherlands,2024-03-11,Standard,1737.48
233,Kathryn Williams,jenniferbrock@example.net,Korea,2023-05-02,Basic,662.78
234,Steven Taylor,francisco94@example.net,Guadeloupe,2021-10-18,Standard,865.64
235,Katrina Burns,thomas05@example.com,Peru,2021-11-15,Basic,448.14
236,Jason Parker,carlsonjoseph@example.net,Slovenia,2022-06-18,Basic,594.02
237,Laura Perez,silvageorge@example.net,Saint Helena,2021-02-26,Standard,2072.82
238,,anthonyvaughan@example.org,Comoros,2022-05-11,Basic,388.24
239,Erik Hernandez,roberthampton@example.com,Tunisia,2021-07-29,Premium,10275.08
240,Monica Thornton,annbolton@example.com,Malta,2023-04-19,Premium,10786.9
241,Tyler Stevens,amy49@example.com,Congo,2022-03-03,Basic,432.58
242,Diana Evans,kellie37@example.com,Lesotho,2024-02-13,Basic,154.62
243,Timothy Pope,keith98@example.com,Ukraine,2023-11-25,Standard,323.64
244,Sabrina Blevins,kellyroberts@example.net,Belgium,2023-05-26,Standard,734.97
245,Jeremy Scott,ilewis@example.com,Venezuela,2024-06-24,Standard,1361.7
246,Denise Rodriguez,johnsantiago@example.net,Czech Republic,2023-12-18,Basic,398.44
247,Amy Gutierrez,xgarcia@example.org,Albania,2020-04-15,Standard,782
248,Vanessa Moore,mwoods@example.com,Gibraltar,2024-12-08,Standard,156.7
249,Anthony Mack,amandasharp@example.org,United States Minor Outlying Islands,2022-09-30,Standard,809.06
250,Jennifer Monroe,osbornrandy@example.com,Colombia,2020-07-22,Standard,2205.17
251,Tonya Howe,smithashley@example.org,Vanuatu,2024-06-15,Standard,1739.92
252,Mrs. Virginia Daniels,ismall@example.net,Lao People's Democratic Republic,2023-11-18,Basic,204.04
253,Robert Rivera,twong@example.org,American Samoa,2024-09-23,Standard,143.38
254,Rachel Bradley,gregorychase@example.com,Sweden,2022-08-11,Standard,2077.22
255,Garrett Morales,lopezdonald@example.com,Vietnam,2022-06-23,Standard,163.21
256,Dean Young,stephanie49@example.net,Montserrat,2023-01-27,Basic,653.61
257,Matthew Schwartz,contrerassteven@example.org,Iraq,2022-02-06,Basic,246.58
258,Tammy Barron,hannah45@example.net,Cyprus,2023-10-26,Premium,9712.96
259,Casey Hernandez,robert87@example.net,Spain,2024-04-13,VIP,2576.11
260,Colleen Wright,foxallison@example.com,Belarus,2023-01-03,Standard,660.45
261,Ashley Poole,ashleyhernandez@example.com,Timor-Leste,2022-08-19,Premium,14036.5
262,Audrey Harris,gdavis@example.com,Sudan,2023-06-02,Basic,461.03
263,Carlos Perry,hansenemily@example.com,Saint Kitts and Nevis,2022-02-01,Standard,1975.38
264,David Smith,bethwilliams@example.com,Reunion,2022-11-03,Premium,6888.39
265,Zachary Michael,andersenthomas@example.com,Ireland,2020-12-23,Basic,317.2
266,Chad May,ybrooks@example.com,Trinidad and Tobago,2020-04-08,Premium,13553.66
267,Jamie Miller,desireebailey@example.org,Mauritania,2023-07-05,Standard,2789.53
268,Cameron Irwin,avilatiffany@example.com,Peru,2024-01-10,Premium,2716.06
269,Jessica Gray,johnreed@example.com,Comoros,2023-03-13,Premium,8978.56
270,Molly Rodriguez,bmendez@example.org,Costa Rica,2022-07-13,Premium,3543.92
271,Kirk Griffin,sanchezbradley@example.com,Djibouti,2020-08-24,Premium,11839.48
272,Nicole Parsons,williamroberts@example.net,Morocco,2021-01-02,Premium,10241.85
273,Kyle Chambers,joel28@example.org,Isle of Man,2024-12-31,Premium,4371.32
274,Antonio Fry,conniesimmons@example.com,Australia,2023-03-28,Standard,1569.63
275,Teresa Powers,heather62@example.com,Honduras,2023-10-14,Standard,476.84
276,Joshua Allen,kevinzimmerman@example.com,United States Virgin Islands,2020-02-12,Standard,1602.93
277,Jason Butler,paulscott@example.com,Oman,2021-08-02,Standard,2900.44
278,Jerry Watson,brettbennett@example.net,Netherlands,2021-07-19,Standard,1467.31
279,Benjamin Ballard,timothybooth@example.com,Gabon,2023-05-10,Basic,14.27
280,Alexis Giles,burgesskaren@example.org,Qatar,2020-06-01,Basic,580.21
281,Christine Herman,kimberly67@example.net,Pakistan,2024-11-06,Premium,3223.28
282,Dennis Hunt,zowens@example.net,Latvia,2020-11-09,Premium,6645.2
283,Erica Harris,robert93@example.net,Cameroon,2022-11-19,Standard,1888.07
284,Juan Silva,mphillips@example.com,Denmark,2021-04-27,Standard,1508.51
285,Roy Porter,jonathan77@example.com,Chile,2022-04-28,Standard,2375.75
286,Heather Taylor,iwhite@example.net,Bahamas,2020-07-22,Standard,1334.99
287,Sara Jones,duranrobert@example.net,Djibouti,2024-07-21,Premium,557.16
288,Chris Robinson,nbrooks@example.net,Papua New Guinea,2023-01-20,Standard,1916.56
289,Susan Hopkins,smithandrea@example.org,Andorra,2023-02-17,Standard,1533.68
290,Denise Madden,shawheidi@example.com,Sri Lanka,2021-05-31,Premium,-41.22
291,Cassie Hull,johnharvey@example.com,Suriname,2022-08-20,Basic,184.67
292,Robert Miller,pstevens@example.net,Czech Republic,2024-12-25,Premium,13736.46
293,Ronald Miller,davisnicholas@example.net,Lebanon,2022-08-24,Basic,336.8
294,Adam Jackson,pbruce@example.com,Mongolia,2024-08-04,Premium,4908.05
295,Valerie Jacobson,hallrachel@example.net,Tuvalu,2022-09-20,Basic,791.47
296,Denise Glass,rachel90@example.org,Vanuatu,2021-11-27,Basic,495.04
297,Alexis Clark,karenmarquez@example.com,Vanuatu,2024-09-25,Basic,28.73
298,Christopher Allen,irhodes@example.com,Hungary,2022-09-22,Basic,678.27
299,Brenda Hinton,masonterri@example.org,Bolivia,2024-08-04,Basic,37.58
300,Ryan Peterson,unovak@example.org,North Macedonia,2020-06-02,Standard,897.09
301,Willie Henry,angela66@example.org,Pitcairn Islands,2022-08-29,Basic,716.23
302,Jamie Barton,lauren11@example.com,Cape Verde,2022-05-19,Premium,11956.14
303,Richard Moore,gstewart@example.org,Albania,2021-06-15,Standard,1179.03
304,Jill Juarez,andersonjacob@example.com,Moldova,2020-12-27,Standard,2362.7
305,Jennifer Johnson,angela99@example.com,Tonga,2024-03-29,Basic,139.59
306,Edgar Hughes,hardyanita@example.org,Montserrat,2022-08-20,Standard,1248.56
307,Melissa Jackson,kevin72@example.org,Chad,2023-10-28,Standard,2922.35
308,Jason Washington,wardsheryl@example.net,Niue,2023-02-17,Standard,2019.25
309,Luis Ellis Jr.,rushmartin@example.net,Hong Kong,2020-09-07,Standard,2144.52
310,Erin Cook,kevinmorrison@example.net,Cook Islands,2020-01-30,Premium,4137.54
311,Christopher Sanders,kelly79@example.org,Greece,2022-07-08,Standard,1213.28
312,Robert Long,frederickjames@example.net,Cocos (Keeling) Islands,2024-04-24,Standard,678.88
313,Krista Benton,nhahn@example.com,South Georgia and the South Sandwich Islands,2021-08-01,Standard,840.07
314,Michael Fuentes,ichambers@example.net,Gabon,2022-05-04,Standard,783.88
315,Matthew Espinoza,mjones@example.com,Myanmar,2021-11-03,Standard,2325.3
316,Jonathon Knapp,ystephens@example.com,Reunion,2022-11-13,Standard,2521.37
317,Kimberly Little,rodriguezjohn@example.net,Guinea,2021-05-17,Standard,293.73
318,Lonnie Hart,vrasmussen@example.com,Botswana,2021-12-27,Standard,1503.53
319,David Dixon,seanmyers@example.net,Namibia,2022-03-28,Standard,671.24
320,Brittany Cuevas,agarcia@example.org,Brazil,2022-03-03,Basic,716.92
321,Monica Bailey,stanley38@example.com,Guernsey,2020-11-23,Basic,41.4
322,Jeffrey Horton,carlos01@example.org,Thailand,2024-11-14,Standard,2407.66
323,Brian Marsh,zacharyarnold@example.com,Monaco,2024-03-23,Standard,858.17
324,Joel Salinas,jacobsandoval@example.com,Antarctica (the territory South of 60 deg S),2023-03-25,Standard,1941.95
325,Sonya Cole,tprice@example.org,Costa Rica,2020-09-01,Basic,55.53
326,Michael Flynn,lloydamanda@example.com,Greece,2020-08-23,Standard,2981.12
327,Brian Lambert,orose@example.com,Nepal,2021-03-14,Basic,202.58
328,James Wilson,megan92@example.net,Romania,2023-03-08,Standard,1405.1
329,Tamara Lawrence,lawrenceallen@example.org,Cocos (Keeling) Islands,2021-06-05,Standard,1372.3
330,Charles Price,baileyhenderson@example.com,North Macedonia,2024-10-01,Standard,2711.29
